time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-07 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,384.0299987792969,52.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,QQQ,buy,market,fill,1,gtc,0.0,1,stock,359.4700012207031,67.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,359.4700012207031,52.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,54.0,0.0
2022-01-24 08:30:00-05:00,MLTrader,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-24 08:30:00-05:00,MLTrader,QQQ,sell,stop,fill,1,day,0.0,1,stock,345.9100036621094,67.0,0.0
2022-01-24 08:30:00-05:00,MLTrader,QQQ,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-01-24 08:30:00-05:00,MLTrader,QQQ,buy,limit,fill,1,day,0.0,1,stock,345.6269989013672,52.0,0.0
2022-01-26 09:30:00-05:00,MLTrader,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-26 09:30:00-05:00,MLTrader,MSFT,buy,market,fill,1,gtc,0.0,1,stock,307.989990234375,93.0,0.0
2022-01-27 09:30:00-05:00,MLTrader,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-27 09:30:00-05:00,MLTrader,MSFT,sell,stop,fill,1,day,0.0,1,stock,298.75029052734374,93.0,0.0
2022-02-11 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-11 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-11 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,358.42999267578125,80.0,0.0
2022-02-11 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,358.42999267578125,52.0,0.0
2022-02-17 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
